delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,400,unexp,1,3,15,0,301.3970312088236,302.3966779626003,302.3966779626003,302.3966779626003,space,1.4888239967131085,303.99672636428494,304.2966798165635,304.2966798165635,304.2966798165635,304.2966798165635,500,16,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,400,unexp,1,4,16,1,306.9801192230834,307.9800741982599,307.9800741982599,307.9800741982599,space,2.489646030802305,310.89693778231566,,311.19794004812366,311.19794004812366,311.19794004812366,360,17,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,5,17,6,313.6801115423782,314.6800738009824,314.6800738009824,314.6800738009824,space,2.5098886616292475,317.3135395602664,317.6135135385671,317.6135135385671,317.6135135385671,317.6135135385671,600,18,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,6,18,7,320.4134947340822,321.41354207635914,321.41354207635914,321.41354207635914,space,2.375617686352143,324.2135357861268,324.51360676643617,324.51360676643617,324.51360676643617,324.51360676643617,450,19,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,7,19,3,326.91374005315583,327.91369105555395,327.91369105555395,327.91369105555395,space,2.579706933497164,330.59878869982884,,330.8973354574455,330.8973354574455,330.8973354574455,700,20,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,1,8,20,8,333.130593175561,334.1304892211897,334.1304892211897,334.1304892211897,space,6.554206992426771,341.41410382724206,,341.71416984157895,341.71416984157895,341.71416984157895,567,21,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,9,21,10,343.9309077534067,344.9152444119559,344.9152444119559,344.9321687795227,space,1.0016193231363104,346.34753297075093,346.64753707595537,346.64753707595537,346.64753707595537,346.64753707595537,568 ,22,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,10,22,4,349.29753826778915,350.2977018138381,350.2977018138381,350.2977018138381,space,1.2903797367825973,351.99751992679484,352.2975985215967,352.2975985215967,352.2975985215967,352.2975985215967,907,23,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,11,23,9,354.3811669109923,355.3809576779904,355.3809576779904,355.3809576779904,space,0.8392697424633297,356.3476240135921,,356.64765460398667,356.64765460398667,356.64765460398667,568,24,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913, 5.932544869222511]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267, 5.932548510936158]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,2,0,24,6,362.5810814300412,363.5811003007393,363.5811003007393,363.5811003007393,space,1.3343845491413049,365.04778484490924,365.3478352991965,365.3478352991965,365.3478352991965,365.3478352991965,897,25,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913, 5.932544869222511, 2.2659864607708187]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267, 5.932548510936158, 2.265989771419754]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
